,_id,_index,_score,_source.analog_in_4,_source.analog_in_5,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
780,ddf76c4f-fc38-45bc-8bfa-b70c3b183b2d,coffee_sensors_v2,1.0,,,aws-dev-02,70.0,23.0,2018-09-13T14:39:45.537174514Z,sensor
781,ba610017-8c3a-48e8-991b-87be268d8838,coffee_sensors_v2,1.0,26.45,53.32,aws-dev-03,,,2018-09-14T00:16:38.034857984Z,sensor
782,957daaa0-80d2-459a-a0b2-1d8bd875b25d,coffee_sensors_v2,1.0,26.18,55.23,aws-dev-03,,,2018-09-14T03:17:11.435684378Z,sensor
783,2bacad95-0514-47f8-b773-c5f8db587170,coffee_sensors_v2,1.0,28.2,13.94,aws-dev-03,,,2018-09-13T11:59:51.611709099Z,sensor
784,2b47284b-e4dd-49bb-a1f5-9f3ce1ab693b,coffee_sensors_v2,1.0,-27.84,33.74,aws-dev-03,59.0,23.0,2018-09-14T11:39:57.435792553Z,sensor
785,d51e1b0c-3f99-4134-aeff-3c2d800ab2aa,coffee_sensors_v2,1.0,31.25,67.82,aws-dev-03,54.0,23.0,2018-09-14T12:33:04.047374323Z,sensor
786,7a3f1d3f-8530-4ce9-b830-7dd211f09639,coffee_sensors_v2,1.0,31.89,56.54,aws-dev-03,53.0,23.0,2018-09-14T12:28:04.23595003Z,sensor
787,5eb9c119-b142-4886-8737-d82752856652,coffee_sensors_v2,1.0,25.11,2.36,aws-dev-03,19.0,39.0,2018-09-14T12:53:53.340176446Z,sensor
788,50a3fbf2-038c-478f-b3b0-b3b21f1be29f,coffee_sensors_v2,1.0,21.41,0.68,aws-dev-01,36.0,22.0,2018-09-14T13:32:03.202761054Z,sensor
789,07ce4d6a-603e-462f-8af7-20941b20052e,coffee_sensors_v2,1.0,24.03,-0.24,aws-dev-03,35.0,23.0,2018-09-14T13:43:53.80809355Z,sensor
790,1417547b-85be-4d1f-b0cf-813de5ae8c72,coffee_sensors_v2,1.0,,,aws-dev-02,86.0,24.0,2018-09-14T13:43:37.510412246Z,sensor
791,0993a69c-0195-413f-a50c-aa1c804bc5d5,coffee_sensors_v2,1.0,,,aws-dev-02,71.0,22.0,2018-09-14T14:43:43.746558801Z,sensor
792,223659be-a6d9-4b6c-a627-9d8ae71c4493,coffee_sensors_v2,1.0,-26.97,35.53,aws-dev-03,,,2018-09-14T11:39:15.830367542Z,sensor
793,b0449806-a6b5-4118-8ec9-b841c69086dd,coffee_sensors_v2,1.0,22.86,43.86,aws-dev-01,59.0,16.0,2018-09-14T21:09:02.289808169Z,sensor
794,63ae0cde-c67d-4ae6-a703-659f4f102a83,coffee_sensors_v2,1.0,23.09,45.02,aws-dev-01,66.0,16.0,2018-09-14T22:09:16.418412752Z,sensor
795,6b32c63a-de94-4d67-acef-8bc31a7b5eea,coffee_sensors_v2,1.0,25.75,11.39,aws-dev-03,79.0,15.0,2018-09-15T00:11:48.749897155Z,sensor
796,f0b11750-1695-48cf-a3c3-3eea631b3278,coffee_sensors_v2,1.0,23.86,46.76,aws-dev-01,97.0,14.0,2018-09-15T05:10:37.305541292Z,sensor
797,3553ede6-e2ee-4954-82b8-c0a32436c31e,coffee_sensors_v2,1.0,28.06,12.17,aws-dev-03,54.0,25.0,2018-09-15T06:12:46.418422012Z,sensor
798,0ac3d2e0-86d6-42db-9a68-4fb38be37ac2,coffee_sensors_v2,1.0,30.14,12.19,aws-dev-03,31.0,31.0,2018-09-15T13:13:58.124340001Z,sensor
799,a8443fe6-ce83-41b6-94eb-5187d95140c3,coffee_sensors_v2,1.0,22.79,41.99,aws-dev-01,54.0,17.0,2018-09-14T18:08:37.93338895Z,sensor
800,be98447e-a311-4564-877b-0f71491040c3,coffee_sensors_v2,1.0,31.72,52.31,aws-dev-01,62.0,24.0,2018-09-15T11:11:50.034561471Z,sensor
801,f003a14f-dd90-4f92-93b9-fea7b07a0c0f,coffee_sensors_v2,1.0,22.92,44.88,aws-dev-01,,,2018-09-14T17:08:26.650436547Z,sensor
802,9c7ab0ab-c858-4b70-bf98-573c64e34946,coffee_sensors_v2,1.0,31.25,11.63,aws-dev-03,63.0,25.0,2018-09-16T07:17:45.216116415Z,sensor
