,_id,_index,_score,_source.dev_id,_source.relative_humidity_3,_source.temperature_2,_source.time,_type
70,1e190d33-7c63-493e-b818-3fa275f05405,coffee_sensors,1.0,aws-dev-01,71.0,15.0,2018-09-01T06:06:58.935910256Z,sensor
71,0a991165-9aec-4c3e-929f-9bda264a06dd,coffee_sensors,1.0,aws-dev-01,69.0,14.0,2018-08-31T23:41:37.25592321Z,sensor
72,6c2aded7-0111-4ce1-92a9-e0e6c9aaf24f,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T03:58:35.553542665Z,sensor
73,be866251-3080-43e6-9f8b-1b382bdd5537,coffee_sensors,1.0,aws-dev-01,71.0,15.0,2018-09-01T06:12:05.157149802Z,sensor
74,d27bdc39-0eef-4cc1-bfd1-f337c8139e63,coffee_sensors,1.0,aws-dev-01,63.0,17.0,2018-09-01T07:08:31.436319958Z,sensor
75,c5bebf8f-ead6-430f-bf5f-746865006a5c,coffee_sensors,1.0,aws-dev-01,62.0,17.0,2018-09-01T07:18:43.851839637Z,sensor
76,1195ca1f-ab53-43cf-98e2-ac1d5af3e3a9,coffee_sensors,1.0,aws-dev-01,61.0,17.0,2018-09-01T07:23:50.057499476Z,sensor
77,85bdc6e0-c253-469f-97f7-9ecdb1f22ed8,coffee_sensors,1.0,aws-dev-01,57.0,19.0,2018-09-01T07:59:48.548331734Z,sensor
78,2367dfe0-949f-4dfa-a3c3-41cbf88d2b06,coffee_sensors,1.0,aws-dev-01,47.0,22.0,2018-09-01T08:40:56.154664235Z,sensor
79,aabcc22e-2f4a-43ba-9c7e-99d4601a8c62,coffee_sensors,1.0,aws-dev-01,48.0,22.0,2018-09-01T08:46:08.360484023Z,sensor
80,a1065dc9-1202-4dca-b88a-b50fc7ffec20,coffee_sensors,1.0,aws-dev-01,47.0,22.0,2018-09-01T09:42:34.66989026Z,sensor
81,723e8348-dc29-430b-8c05-097f43d81cc0,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T06:32:38.767750563Z,sensor
82,78d2ca02-772d-4c0d-b6ce-d232736efa0a,coffee_sensors,1.0,aws-dev-01,48.0,22.0,2018-09-01T10:13:14.895682322Z,sensor
83,136df676-679a-4a81-846e-e2818c459b23,coffee_sensors,1.0,aws-dev-01,44.0,23.0,2018-09-01T10:33:42.754201525Z,sensor
84,ac410cb4-4bde-4482-9008-ab46f5f701b6,coffee_sensors,1.0,aws-dev-01,43.0,23.0,2018-09-01T11:25:11.794823656Z,sensor
85,8db1bcca-ec13-4160-b5b1-d1a23ee00044,coffee_sensors,1.0,aws-dev-01,45.0,24.0,2018-09-01T11:35:30.247162833Z,sensor
86,8d52457a-d383-4987-b968-3916424f196d,coffee_sensors,1.0,aws-dev-01,49.0,22.0,2018-09-01T12:06:46.560102712Z,sensor
87,ed6742df-b7eb-42a4-bdd4-474b62ad1249,coffee_sensors,1.0,aws-dev-01,53.0,19.0,2018-09-01T12:27:26.351879447Z,sensor
88,c1c4135c-09cc-47bd-a415-879b3672e145,coffee_sensors,1.0,aws-dev-01,46.0,23.0,2018-09-01T10:44:04.15048741Z,sensor
89,4f456b29-35df-494f-83d1-5afc108aa45b,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T11:45:58.606859347Z,sensor
90,31f15140-95ef-415c-ada2-ef16b5c6b0a8,coffee_sensors,1.0,aws-dev-01,,,2018-09-01T12:01:37.046131642Z,sensor
91,d841fab6-8faa-4d0d-ab9c-cd75ddb80004,coffee_sensors,1.0,aws-dev-01,59.0,17.0,2018-09-01T13:39:41.343082748Z,sensor
92,1b6a6887-b2b3-4790-b983-bdc126aad080,coffee_sensors,1.0,aws-dev-01,60.0,17.0,2018-09-01T14:00:09.055176663Z,sensor
